LobbyingEntity,DateRange,Date,LobbyistName,RecipientName,OfficeSought,Amount
Ventry Associates LLP,07/01/2020 - 12/31/2020,08/27/2020,Anthony Arthur Abdelahad,Patrick Reynolds,State Representative- 14th Bristol District,$200.00
Ventry Associates LLP,07/01/2020 - 12/31/2020,10/05/2020,Dennis Michael Murphy,Patrick Reynolds,State Representative- 14th Bristol District,$200.00
Ventry Associates LLP,07/01/2020 - 12/31/2020,10/28/2020,Dennis Michael Murphy,Orlando Ramos,State Representative- 9th Hampden District,$200.00
Ventry Associates LLP,01/01/2020 - 06/30/2020,02/11/2020,Anthony Arthur Abdelahad,Jamie Murphy,State Representative- 4th Norfolk,$200.00
Ventry Associates LLP,01/01/2020 - 06/30/2020,02/20/2020,Anthony Arthur Abdelahad,Karyn E. Polito,Lt. Governor,$200.00
Ventry Associates LLP,01/01/2020 - 06/30/2020,03/23/2020,Anthony Arthur Abdelahad,Maura Healey,Attorney General,$200.00
Ventry Associates LLP,01/01/2020 - 06/30/2020,06/12/2020,Anthony Arthur Abdelahad,Kevin Honan,State Representative- 17th Suffolk District,$200.00
Ventry Associates LLP,01/01/2020 - 06/30/2020,01/01/2020,Dennis Michael Murphy,Domenic Sarno,Mayor- City of Springfield,$200.00
Ventry Associates LLP,01/01/2020 - 06/30/2020,02/11/2020,Dennis Michael Murphy,Jamie Murphy,State Representative- 4th Norfolk,$200.00
Ventry Associates LLP,01/01/2020 - 06/30/2020,06/10/2020,Dennis Michael Murphy,Sean Mullan,State Representative- 9th Hampden,$200.00
Ventry Associates LLP,01/01/2020 - 06/30/2020,06/16/2020,Dennis Michael Murphy,Kevin Honan,State Representative- 17th Suffolk,$200.00
Essential Strategies Inc.,01/01/2020 - 06/30/2020,01/24/2020,"Theodore J. Aleixo, Jr.",Carol Doherty,"State Rep., Third Bristol",$200.00
Alviani Associates,07/01/2020 - 12/31/2020,10/07/2020,Joseph D Alviani,Sally Kerans,MA House of Representatives - 13th Essex District,$200.00
Alviani Associates,07/01/2020 - 12/31/2020,10/28/2020,Joseph D Alviani,Sal DiDomenico,MA State Senate - Middlesex and Suffolk,$100.00
Alviani Associates,07/01/2020 - 12/31/2020,12/09/2020,Joseph D Alviani,Joseph Petty,Mayor of Worcester,$100.00
Alviani Associates,01/01/2020 - 06/30/2020,06/17/2020,Joseph D Alviani,Jesse Mermell,"MA 4th Congressional District, US House of Representatives",$125.00
Alviani Associates,01/01/2020 - 06/30/2020,06/25/2020,Joseph D Alviani,Daniel J. Ryan,"MA House of Representatives, 2nd Suffolk",$200.00
Rosewood Consulting Inc.,07/01/2020 - 12/31/2020,08/24/2020,Lisa Marie Andoscia,James Welch,State Senate,$200.00
Rosewood Consulting Inc.,07/01/2020 - 12/31/2020,08/24/2020,Lisa Marie Andoscia,Orlando Ramos,State Senate,$150.00
Rosewood Consulting Inc.,07/01/2020 - 12/31/2020,11/06/2020,Lisa Marie Andoscia,John Velis,State Senate,$100.00
Rosewood Consulting Inc.,07/01/2020 - 12/31/2020,11/23/2020,Lisa Marie Andoscia,Aaron Mickewicz,House of Representatives,$200.00
Rosewood Consulting Inc.,07/01/2020 - 12/31/2020,11/23/2020,Lisa Marie Andoscia,Ronald Mariano,House of Representatives,$200.00
Rosewood Consulting Inc.,07/01/2020 - 12/31/2020,12/21/2020,Lisa Marie Andoscia,Michael Finn,House of Representatives,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/10/2020,Chester Atkins,Dave Rodgers,"State Representative, 24th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/23/2020,Chester Atkins,Frank Moran,"State Representative, 17th Essex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/23/2020,Chester Atkins,Karen Spilka,"State Senate, 2nd Middlesex and Norfolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/31/2020,Chester Atkins,Eileen Duff,"Governor's Council, 5th District",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/31/2020,Chester Atkins,Amber Hewett,"State Representative,  1st Essex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/24/2020,Chester Atkins,Su Moran,"State Senator, Plymouth and Barnstable",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/30/2020,Chester Atkins,Dan Sena,"State Representative, 37th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/07/2020,Chester Atkins,Tram Ngyuen,"State Representative, 18th Essex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/08/2020,Chester Atkins,Jason Lewis,"State Senator, Fifth Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/14/2020,Chester Atkins,Adam Hinds,"State Senator, Berkshire, Hampshire, Franklin and Hampden",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/28/2020,Chester Atkins,John Cronin,"State Senate, Worcester and Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/30/2020,Chester Atkins,Sal DiDimenico,"State Senator, Middlesex and Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/07/2020,Chester Atkins,Majorie Decker,"State Representative, 25th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/15/2020,Chester Atkins,Dan Hunt,"State Representative, 13th Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/16/2020,Chester Atkins,Aaron Michlewitz,"State Representative, 3rd Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/23/2020,Dave Garriepy,Karen Spilka,"State Senate, 2nd Middlesex and Norfolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/08/2020,Michael Bergan,Michael J. Rodrigues,"State Senate, 1st Bristol and Plymouth",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/10/2020,Michael Bergan,Dave Rogers,"State Representative, 24th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/14/2020,Michael Bergan,Nick Collins,"State Senate, 1st Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/14/2020,Michael Bergan,Julian Cyr,"State Senate, Cape and Islands",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/14/2020,Michael Bergan,Meghan Kilcoyne,"State Representative, 12th Worcester",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/15/2020,Michael Bergan,Mark Cusack,"State Representative, 5th Norfolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/24/2020,Michael Bergan,John Velis,"State Representative, 4th Hampden",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/24/2020,Michael Bergan,Frank Moran,"State Representative, 17th Essex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/24/2020,Michael Bergan,Karen Spilka,"State Senate, 2nd Middlesex and Norfolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,08/20/2020,Michael Bergan,Jesse Mermell,"US Representative, MA 4th Congressional District",$250.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/13/2020,Michael Bergan,Kip Diggs,"State Representative, 2nd Barnstable District",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/20/2020,Michael Bergan,Susan Moran,"State Senate, Plymouth and Barnstable",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/27/2020,Michael Bergan,Jake Oliveira,"State Representative, 7th Hampden District",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/03/2020,Michael Bergan,Brendan Crighton,"State Senate, 3rd Essex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/10/2020,Michael Bergan,David Biele,"State Representative, 4th Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/10/2020,Michael Bergan,Eileen Duff,"MA Governors Council, District 5",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/12/2020,Michael Bergan,Mayor Bob Sullivan,"Mayor, City of Brockton",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/07/2020,Michael Morris,Frank Moran,State Representative 17th Essex,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/07/2020,Michael Morris,Joe McGonagle,State Representative 17th 28th Middlesex,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/08/2020,Michael Morris,Michael J. Rodrigues,"State Senate, 1st Bristol and Plymouth",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/13/2020,Michael Morris,Thomas M. Stanley,"State Representative, 9th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/13/2020,Michael Morris,David M. Rogers,"State Representative, 24th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/15/2020,Michael Morris,Mark Cusack,State Representative 5th Norfolk,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/21/2020,Michael Morris,Nick Collins,"State Senate ,1st Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/21/2020,Michael Morris,Andrea Campbell,"Boston City Council, District 4",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,07/23/2020,Michael Morris,Karen Spilka,"State Senate, 2nd Middlesex and Norfolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,08/17/2020,Michael Morris,Rob Consavlo,"State Representative,14th Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,08/18/2020,Michael Morris,Charlie Ryan,Norfolk county Commissioner,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/10/2020,Michael Morris,Greg Hanley,Plymouth County Commissioner,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/10/2020,Michael Morris,Tom O'Brien,Plymouth County Treasurer,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/11/2020,Michael Morris,Andres Vargas,"State Representative, 3rd Essex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/17/2020,Michael Morris,Brad Jones,"State Representative, 20th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/23/2020,Michael Morris,Annisa Estabi-George,Boston  City Council At Large,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/24/2020,Michael Morris,Patrick O'Connor,"State Senate, Plymouth and Norfolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/24/2020,Michael Morris,Jason Guida,"State Representative, 13th Essex District",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,09/29/2020,Michael Morris,Jim Arcciero,"State Representative, 2nd Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/02/2020,Michael Morris,Kip Diggs,"State Representative, 2nd Barnstable",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/05/2020,Michael Morris,Jake Oliveria,"State Representative,  7th Hampden",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/09/2020,Michael Morris,Jason Lewis,"State Senate, 5th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/09/2020,Michael Morris,Patrick Mcdermott,Norfolk Country Sheriff,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/20/2020,Michael Morris,Democratic House PAC,N/A,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/26/2020,Michael Morris,Emmuel Dockter,"State Representative candidate, 5th Plymouth",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,10/29/2020,Michael Morris,Jessica Giannino,"State Represenative, 16th Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/03/2020,Michael Morris,Brendan Crighton,"State Senator, 3rd Essex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/04/2020,Michael Morris,Marjorie Decker,"State Representative, 25th Middlesex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/05/2020,Michael Morris,Mike Rush,"State Senator, Suffolk and Norfolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/09/2020,Michael Morris,David Biele,"State Representative, 4th Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/09/2020,Michael Morris,Dan Cahill,"State Representative, 10th Essex",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/17/2020,Michael Morris,Aaron Michlewitz,"State Representative,3rd Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/18/2020,Michael Morris,Michael Finn,"State Representative, 6th Hampden",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/19/2020,Michael Morris,Dan Hunt,"State Representative, 13th Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/19/2020,Michael Morris,Democratic Senate PAC,N/A,$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/22/2020,Michael Morris,Sal DiDomenico,"State Senate, Middlesex & Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/22/2020,Michael Morris,Nicole LaChapelle,"Mayor, East Hampden",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/23/2020,Michael Morris,Bill Driscoll,"State Representative, 7th Norfolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/23/2020,Michael Morris,Adrian Madaro,"State Representative, 1st Suffolk",$200.00
Tremont Strategies Group LLC,07/01/2020 - 12/31/2020,12/30/2020,Michael Morris,Eileen Duff,Governor's Council District 5,$200.00
