LobbyingEntity,DateRange,Lobbyist,Client,House/Senate,BillNumber,BillActivity,AgentPosition,Amount,DirectBusinessAssosciation
"21c, LLC",01/01/2020 - 06/30/2020,"Hugh Richard Jones, III",Massachusetts Business Alliance for Education,Executive,Other,To develop support for and expand the state's early college programs.,Support,$0.00,N/A
"21c, LLC",01/01/2020 - 06/30/2020,"Hugh Richard Jones, III",Massachusetts Business Alliance for Education,House Bill,2,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Support,$0.00,N/A
"21c, LLC",01/01/2020 - 06/30/2020,"Hugh Richard Jones, III",Massachusetts Business Alliance for Education,Executive,Executive Office of Education (EDU),To develop support for and expand the state's early college programs.,Support,$0.00,N/A
"21c, LLC",01/01/2020 - 06/30/2020,"Hugh Richard Jones, III",Massachusetts Business Alliance for Education,Executive,Other,To develop support for and expand the state's early college programs.,Support,$0.00,N/A
"21c, LLC",01/01/2020 - 06/30/2020,"Hugh Richard Jones, III",The Education Trust Inc,House Bill,2,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Support,$0.00,N/A
"21c, LLC",01/01/2020 - 06/30/2020,"Hugh Richard Jones, III",The Education Trust Inc,Executive,Other,To ensure an equitable and strong implementation of the Student Opportunity Act and ensure the needs of students and families are met during COVID school closures.,Support,$0.00,N/A
"21c, LLC",07/01/2020 - 12/31/2020,"Hugh Richard Jones, III",Massachusetts Business Alliance for Education,House Bill,2,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Support,$0.00,N/A
"21c, LLC",07/01/2020 - 12/31/2020,"Hugh Richard Jones, III",Massachusetts Business Alliance for Education,Executive,Other,Efforts to grow and expand the Commonwealth's early college/college-in-high-school programs.,Support,$0.00,N/A
"21c, LLC",07/01/2020 - 12/31/2020,"Hugh Richard Jones, III",The Education Trust Inc,House Bill,2,"An Act making appropriations for the fiscal year 2021 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Support,$0.00,N/A
"21c, LLC",07/01/2020 - 12/31/2020,"Hugh Richard Jones, III",The Education Trust Inc,Executive,Other,Efforts to address the Commonwealth's education equity gaps and related responses to the COVID-19 pandemic.,Support,$0.00,N/A
